,precision,recall,f1-score,support
0,0.9364937388193202,0.8948717948717949,0.9152097902097902,1170.0
1,0.9370915032679739,0.8989028213166145,0.9176,1276.0
2,0.6094069529652352,0.5008403361344538,0.5498154981549815,595.0
3,0.9213028169014085,0.956672760511883,0.9386547085201794,5470.0
accuracy,0.9076489249206908,0.9076489249206908,0.9076489249206908,0.9076489249206908
macro avg,0.8510737529884844,0.8128219282086866,0.8303199992212378,8511.0
weighted avg,0.9039537043888567,0.9076489249206908,0.905091591064863,8511.0
