,precision,recall,f1-score,support
0,0.9439775910364145,0.8641025641025641,0.9022757697456493,1170.0
1,0.9409282700421941,0.8738244514106583,0.9061357171881349,1276.0
2,0.7211895910780669,0.32605042016806723,0.44907407407407407,595.0
3,0.8905780153691948,0.9745886654478976,0.9306913407821229,5470.0
accuracy,0.8989542944424862,0.8989542944424862,0.8989542944424862,0.8989542944424862
macro avg,0.8741683668814676,0.7596415252822968,0.7970442254474953,8511.0
weighted avg,0.8936256379799542,0.8989542944424862,0.8894339717878929,8511.0
