,precision,recall,f1-score,support
0,0.8044280442804428,0.7452991452991453,0.7737355811889973,1170.0
1,0.9082082965578111,0.8064263322884012,0.8542963885429639,1276.0
2,0.5721649484536082,0.1865546218487395,0.2813688212927757,595.0
3,0.8675409836065574,0.9674588665447897,0.9147796024200519,5470.0
accuracy,0.8581835272000939,0.8581835272000939,0.8581835272000939,0.8581835272000939
macro avg,0.788085568224605,0.6764347414952689,0.7060450983611972,8511.0
weighted avg,0.8443122926652157,0.8581835272000939,0.8420410874960443,8511.0
