y_max,y_min,y_peak_to_peak,y_mean,y_median,y_std,y_abs_mean,y_energy,y_abs_area,x_at_y_max,x_at_y_min,first_third_energy,middle_third_energy,last_third_energy,first_third_std,middle_third_std,last_third_std,label,file_path,x,y,source_dataset,instance_id,y_pred,proba_0,proba_1,proba_2,proba_3
-2.81916243068871,-5.756328513859677,2.9371660831709674,-3.940181545062322,-3.9466138094080647,0.1504522882706291,3.940181545062322,62206.21366288139,788.0321370897746,978.95,978.4,21089.239594177856,19964.260090614807,21152.71397808873,0.182459812977086,0.1104852802414527,0.1196440277413859,2,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T14-17-58.447780-Hohlrmtestk1_tr-[18094]-[55.0,30.0,5.63]-[1.0,0.0,0.0,0.0]-delta[0.014mm-0.0deg]-avg20.txt",55,30,messreihe_1,messreihe_1_x55_y30,2,0.009385624,0.31280118,0.3444723,0.3333409
-3.6456242489822586,-4.342922147640323,0.6972978986580642,-3.9599518250077343,-3.96337098606129,0.1231706334506532,3.9599518250077343,62801.25423476821,791.9864697135154,979.5,978.6,21275.65607642649,20158.95921214317,21366.638946198545,0.1038992483635848,0.1110051179521646,0.1187312487475956,0,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T16-06-17.598167-Hohlrmtestk1_tr-[19552]-[65.0,68.0,5.84]-[1.0,0.0,0.0,0.0]-delta[0.008mm-0.0deg]-avg20.txt",65,68,messreihe_1,messreihe_1_x65_y68,0,0.99729025,0.00025117054,0.0019198398,0.00053869403
-3.109699177629032,-6.083675155329032,2.9739759777,-3.901111845078848,-3.9082254783419352,0.1542919115541004,3.901111845078848,60985.16096676383,780.2187432341243,974.2,974.75,20694.82647785149,19526.695016878453,20763.639472033898,0.1881552425514996,0.1111127723109361,0.1214803112681826,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-27T18-03-20.984923-Hohlrmtestk1_tr-[1726]-[-68.0,76.0,4.29]-[1.0,0.0,0.0,0.0]-delta[0.011mm-0.0deg]-avg20.txt",-68,76,messreihe_1,messreihe_1_x-68_y76,2,0.007805388,0.03196745,0.7369517,0.22327538
-3.57234432378871,-4.283168558143548,0.7108242343548383,-3.9662002260289704,-3.9747694809403225,0.1228828998568083,3.9662002260289704,62999.12360455793,793.2362895092706,982.6,981.7,21344.562597202268,20225.104986871476,21429.456020484184,0.103324124877022,0.1109826596213167,0.1185017883187438,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T02-31-32.609330-Hohlrmtestk2_tr-[5385]-[-43.0,22.0,5.29]-[1.0,0.0,0.0,0.0]-delta[0.003mm-0.0deg]-avg20.txt",-43,22,messreihe_2,messreihe_2_x-43_y22,1,0.10462752,0.89030415,0.0031328003,0.0019355726
-3.0906188672596775,-5.591300746409678,2.50068187915,-3.90619540999444,-3.910660688685484,0.1459296037661851,3.90619540999444,61133.91177929825,781.2347597322706,978.15,977.6,20725.22348566999,19609.566871860457,20799.1214217678,0.1709972415931105,0.1105871814595486,0.1191486387438888,0,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T01-04-21.432331-Hohlrmtestk2_tr-[4222]-[-51.0,-4.0,5.04]-[1.0,0.0,0.0,0.0]-delta[0.011mm-0.0deg]-avg20.txt",-51,-4,messreihe_2,messreihe_2_x-51_y-4,2,0.1667789,0.0030225904,0.7480235,0.082175046
-3.6140649781306458,-4.520399015390322,0.9063340372596764,-3.9390813326783585,-3.9440747133177414,0.1263883513733419,3.9390813326783585,62144.87537903276,787.8124647023385,976.3,975.3,21052.81132118048,19931.48805640808,21160.57600144419,0.1145173337029056,0.1092476467013482,0.1196286600813193,0,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T13-12-09.481936-Hohlrmtestk2_tr-[14022]-[26.0,92.0,6.21]-[1.0,0.0,0.0,0.0]-delta[0.012mm-0.0deg]-avg20.txt",26,92,messreihe_2,messreihe_2_x26_y92,0,0.9991617,0.00033967424,0.00026732474,0.00023134585
-2.21123432706129,-6.975794707553225,4.764560380491935,-3.839453866215961,-3.84445633845,0.1827613968768286,3.839453866215961,59114.005683675234,767.8860351082301,980.55,980.0,20093.44956869121,18930.294400456256,20090.26171452777,0.2556358660861981,0.1115816133920367,0.1188768370967694,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T18-00-25.647322-Hohlrmtestk1_tr-[21078]-[75.0,24.0,5.56]-[1.0,0.0,0.0,0.0]-delta[0.011mm-0.0deg]-avg20.txt",75,24,messreihe_1,messreihe_1_x75_y24,2,0.012112084,0.110531375,0.62956125,0.24779521
-2.928529030259677,-6.120429809482259,3.1919007792225815,-3.895499164092292,-3.8999069276322578,0.15127536418713,3.895499164092292,60806.38969098802,779.0963506730766,978.45,978.05,20618.09330775919,19494.013932087917,20694.282451140913,0.184020225190732,0.110636835354872,0.119078849934158,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T17-31-08.090150-Hohlrmtestk1_tr-[20686]-[72.0,70.0,5.59]-[1.0,0.0,0.0,0.0]-delta[0.013mm-0.0deg]-avg20.txt",72,70,messreihe_1,messreihe_1_x72_y70,0,0.579328,0.0062209736,0.2917235,0.12272751
-1.7451129788467743,-9.065919557856454,7.32080657900968,-3.6177799474227776,-3.622463361085484,0.2524306044093513,3.6177799474227776,52621.36388502532,723.5518288417077,980.8,980.35,18011.631947418908,16749.16723343589,17860.564704170527,0.3928608131589484,0.1127395987633247,0.1239274518855591,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T17-00-57.137090-Hohlrmtestk2_tr-[17111]-[48.0,-60.0,6.4]-[1.0,0.0,0.0,0.0]-delta[0.005mm-0.0deg]-avg20.txt",48,-60,messreihe_2,messreihe_2_x48_y-60,3,0.0008008726,0.022014204,0.014026888,0.9631581
-2.5114418698870966,-7.2727481827,4.761306312812904,-3.7753409519743704,-3.782263635443548,0.1926958815854626,3.7753409519743704,57175.61435674541,755.0641744899663,977.8,977.35,19446.513343698665,18292.478196394863,19436.622816651885,0.2758559961508642,0.1119571166313684,0.1204036091171705,3,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T08-00-08.029996-Hohlrmtestk1_tr-[12975]-[16.0,57.0,5.91]-[1.0,0.0,0.0,0.0]-delta[0.01mm-0.0deg]-avg20.txt",16,57,messreihe_1,messreihe_1_x16_y57,3,0.37207326,0.059668943,0.029619496,0.5386383
