configuration,accuracy,balanced_accuracy,macro_f1,weighted_f1,best_val_macro_f1
no_weights,0.8864998237574903,0.7707688304559586,0.7802724187625985,0.8801965750658183,0.7802724187625985
class1_weight2,0.8828574785571613,0.7753429837098456,0.7815027004354933,0.878474127382022,0.7815027004354933
balanced,0.7536129714487134,0.7714324268333599,0.7016384497705338,0.7884119019536361,0.7016384497705338
