,precision,recall,f1-score,support
0,0.9205128205128205,0.9205128205128205,0.9205128205128205,1170.0
1,0.9348689436060366,0.9224137931034483,0.9285996055226824,1276.0
2,0.44505494505494503,0.8168067226890756,0.5761707172495554,595.0
3,0.9605210420841683,0.8762340036563071,0.9164435946462716,5470.0
accuracy,0.8850898836799436,0.8850898836799436,0.8850898836799436,0.8850898836799436
macro avg,0.8152394378144925,0.8839918349904129,0.8354316844828323,8511.0
weighted avg,0.9151392979143927,0.8850898836799436,0.8950371444161125,8511.0
