,precision,recall,f1-score,support
0,0.7605304212168487,0.8333333333333334,0.7952691680261011,1170.0
1,0.8650602409638555,0.8440438871473355,0.8544228480761602,1276.0
2,0.26895002807411567,0.8050420168067227,0.4031986531986532,595.0
3,0.9559838210801809,0.7345521023765996,0.8307660498294221,5470.0
accuracy,0.7694747973211139,0.7694747973211139,0.7694747973211139,0.7694747973211139
macro avg,0.7126311278337502,0.8042428349159978,0.7209141797825841,8511.0
weighted avg,0.8674532050647727,0.7694747973211139,0.7995420011697634,8511.0
