,precision,recall,f1-score,support
0,0.916077738515901,0.8863247863247863,0.9009556907037359,1170.0
1,0.9332260659694288,0.9090909090909091,0.9210003969829297,1276.0
2,0.6127049180327869,0.5025210084033613,0.5521698984302862,595.0
3,0.9213881019830028,0.9513711151736746,0.9361395934520598,5470.0
accuracy,0.9047115497591353,0.9047115497591353,0.9047115497591353,0.9047115497591353
macro avg,0.8458492061252799,0.8123269547481828,0.8275663948922529,8511.0
weighted avg,0.9008529853503853,0.9047115497591353,0.9021900282484286,8511.0
