model,p3_threshold,p0_threshold,accuracy,balanced_accuracy,macro_f1,weighted_f1,critical_errors,critical_error_rate,false_alarms,false_alarm_rate,red_to_yellow,red_to_yellow_rate,green_to_yellow,green_to_yellow_rate
mlp,0.9,0.5,0.8348020209141112,0.8603854093841894,0.7847208910090384,0.8539573732987084,23,1.8025078369905956,220,4.021937842778794,49,3.8401253918495297,865,15.813528336380255
logistic_regression,0.9,0.5,0.5045235577487956,0.7230021422981084,0.5650962890228596,0.5437417751866604,6,0.4702194357366771,513,9.378427787934186,169,13.244514106583072,3249,59.39670932358319
random_forest,0.9,0.5,0.770062272353425,0.843109475366698,0.734731251969037,0.7984060377809855,11,0.8620689655172413,506,9.250457038391225,36,2.8213166144200628,1133,20.712979890310788
hgb,0.9,0.5,0.7483256961579133,0.8621748867858943,0.738505138539267,0.7855750117804439,7,0.54858934169279,316,5.776965265082267,55,4.310344827586207,1626,29.725776965265084
