model,p3_threshold,p0_threshold,accuracy,balanced_accuracy,macro_f1,weighted_f1,critical_errors,critical_error_rate,false_alarms,false_alarm_rate,red_to_yellow_rate,green_to_yellow_rate
hgb,0.7,0.4,0.83632945599812,0.8875714575177068,0.7982870065462333,0.8580132717902462,31,2.4294670846394983,146,2.669104204753199,3.8401253918495297,18.683729433272394
hgb,0.7,0.45,0.8358594759722712,0.8875427280772127,0.7983950668473885,0.8581085622798219,31,2.4294670846394983,148,2.705667276051188,3.8401253918495297,18.647166361974406
hgb,0.7,0.5,0.8350370109270356,0.8864599872885895,0.7977377609764129,0.8578828480889618,31,2.4294670846394983,150,2.742230347349177,3.8401253918495297,18.610603290676416
hgb,0.7,0.55,0.8340970508753378,0.8847505855791878,0.7963618124037171,0.8572456567828232,31,2.4294670846394983,150,2.742230347349177,3.8401253918495297,18.610603290676416
hgb,0.7,0.6,0.8328046058042533,0.8828131439358639,0.7947002242880676,0.8563922562684776,31,2.4294670846394983,151,2.760511882998172,3.8401253918495297,18.59232175502742
hgb,0.7,0.65,0.8309246857008578,0.8798073262241638,0.792269576621563,0.8552127511403785,31,2.4294670846394983,152,2.7787934186471666,3.8401253918495297,18.574040219378425
hgb,0.7,0.7,0.8296322406297733,0.8776633917272881,0.7906539773262233,0.8544786267422397,31,2.4294670846394983,153,2.797074954296161,3.8401253918495297,18.555758683729433
hgb,0.75,0.4,0.8204676301257197,0.8840248650055322,0.7866930294141581,0.8452626380706311,25,1.9592476489028214,177,3.235831809872029,3.918495297805643,20.76782449725777
hgb,0.75,0.45,0.8199976500998708,0.883996135565038,0.7868707900373879,0.8453805358292846,25,1.9592476489028214,179,3.272394881170018,3.918495297805643,20.73126142595978
hgb,0.75,0.5,0.8191751850546352,0.8829133947764148,0.7862916066902208,0.8451785285813466,25,1.9592476489028214,181,3.308957952468007,3.918495297805643,20.694698354661792
hgb,0.75,0.55,0.8182352250029373,0.8812039930670131,0.7849579852151828,0.8445531735450266,25,1.9592476489028214,181,3.308957952468007,3.918495297805643,20.694698354661792
hgb,0.75,0.6,0.8169427799318529,0.8792665514236891,0.783357158267789,0.8437204660278685,25,1.9592476489028214,182,3.3272394881170015,3.918495297805643,20.676416819012797
hgb,0.75,0.65,0.8150628598284573,0.8762607337119892,0.7810238927102837,0.842572478129286,25,1.9592476489028214,183,3.345521023765996,3.918495297805643,20.6581352833638
hgb,0.75,0.7,0.8137704147573728,0.8741167992151135,0.7794844830613199,0.8418620921185939,25,1.9592476489028214,184,3.3638025594149914,3.918495297805643,20.63985374771481
hgb,0.8,0.4,0.8050757842791681,0.8820849223856962,0.7764190764667924,0.8328518851751983,18,1.4106583072100314,204,3.729433272394881,3.918495297805643,22.943327239488116
hgb,0.8,0.45,0.8046058042533192,0.8820561929452022,0.7766516504286242,0.8329878934474743,18,1.4106583072100314,206,3.76599634369287,3.918495297805643,22.906764168190126
hgb,0.8,0.5,0.8037833392080836,0.8809734521565791,0.7761364918021798,0.8328054514136365,18,1.4106583072100314,208,3.8025594149908595,3.918495297805643,22.87020109689214
hgb,0.8,0.55,0.8028433791563858,0.8792640504471774,0.7748385995956527,0.8321900876426267,18,1.4106583072100314,208,3.8025594149908595,3.918495297805643,22.87020109689214
hgb,0.8,0.6,0.8015509340853014,0.8773266088038534,0.7732875342368778,0.831374600176231,18,1.4106583072100314,209,3.820840950639854,3.918495297805643,22.851919561243143
hgb,0.8,0.65,0.7996710139819058,0.8743207910921532,0.7710351491595535,0.8302530548905839,18,1.4106583072100314,210,3.8391224862888484,3.918495297805643,22.833638025594148
hgb,0.8,0.7,0.7983785689108213,0.8721768565952775,0.7695595416668151,0.8295626817997108,18,1.4106583072100314,211,3.857404021937843,3.918495297805643,22.815356489945156
hgb,0.85,0.4,0.7813417929737986,0.8736778738883618,0.7597649515281897,0.8133985386136974,11,0.8620689655172413,243,4.442413162705668,4.231974921630094,25.996343692870198
hgb,0.85,0.45,0.7808718129479497,0.8736491444478677,0.7600744141535394,0.8135599937728598,11,0.8620689655172413,245,4.478976234003657,4.231974921630094,25.95978062157221
hgb,0.85,0.5,0.7800493479027142,0.8725664036592445,0.759645663173088,0.8134040714923398,11,0.8620689655172413,247,4.515539305301646,4.231974921630094,25.923217550274224
hgb,0.85,0.55,0.7791093878510164,0.8708570019498428,0.7583945019840425,0.8128017754949883,11,0.8620689655172413,247,4.515539305301646,4.231974921630094,25.923217550274224
hgb,0.85,0.6,0.7778169427799319,0.8689195603065188,0.7569119404123319,0.8120101342661594,11,0.8620689655172413,248,4.53382084095064,4.231974921630094,25.90493601462523
hgb,0.85,0.65,0.7759370226765362,0.8659137425948188,0.7547691534428781,0.8109246686311201,11,0.8620689655172413,249,4.552102376599635,4.231974921630094,25.886654478976233
hgb,0.85,0.7,0.7746445776054518,0.8637698080979431,0.7533792352462432,0.8102613423660876,11,0.8620689655172413,250,4.570383912248629,4.231974921630094,25.868372943327238
hgb,0.9,0.4,0.7496181412289977,0.8632863570150116,0.7384678781666462,0.7855157945242414,7,0.54858934169279,312,5.703839122486289,4.310344827586207,29.798903107861058
