,precision,recall,f1-score,support
1,0.9458779106356199,0.9423197492163009,0.9440954773869347,1595.0
2,0.44799176107106076,0.985947416137806,0.6160600481518198,2206.0
3,0.9969010727056019,0.6115823340157941,0.7580893682588598,6838.0
accuracy,0.7387912397781746,0.7387912397781746,0.7387912397781746,0.7387912397781746
macro avg,0.7969235814707608,0.8466164997899669,0.7727482979325381,10639.0
weighted avg,0.8754351562691494,0.7387912397781746,0.7565255994744955,10639.0
