name,role,red_threshold,green_threshold,accuracy,balanced_accuracy,macro_f1,weighted_f1,critical_errors,critical_error_rate,false_alarms,false_alarm_rate,red_to_yellow_rate,green_to_yellow_rate
hgb_main,main,0.3,0.99,0.7387912397781746,0.8466164997899669,0.7727482979325381,0.7565255994744955,3,0.18808777429467086,65,0.9505703422053232,5.579937304075235,37.89119625621527
hgb_comparison,comparison,0.3,0.985,0.7720650437071154,0.8634635841197894,0.7963642127535633,0.7880874364668757,3,0.18808777429467086,65,0.9505703422053232,5.579937304075235,32.65574729453056
