,precision,recall,f1-score,support
0,0.9489704565801254,0.905982905982906,0.9269785745518146,1170.0
1,0.9586776859504132,0.9090909090909091,0.9332260659694288,1276.0
2,0.7142857142857143,0.5210084033613446,0.6025267249757046,595.0
3,0.9222608695652174,0.9694698354661792,0.9452762923351159,5470.0
accuracy,0.9203383856186113,0.9203383856186113,0.9203383856186113,0.9203383856186113
macro avg,0.8860486815953675,0.8263880134753346,0.852001914458016,8511.0
weighted avg,0.9168529101155226,0.9203383856186113,0.9169928460623008,8511.0
