,precision,recall,f1-score,support
0,0.8079922027290448,0.7085470085470086,0.7550091074681239,1170.0
1,0.9052901023890785,0.8315047021943573,0.8668300653594772,1276.0
2,0.4658119658119658,0.18319327731092436,0.2629674306393245,595.0
3,0.868399407797335,0.9650822669104204,0.914191704909516,5470.0
accuracy,0.8551286570320762,0.8551286570320762,0.8551286570320762,0.8551286570320762
macro avg,0.7618734196818561,0.6720818137406777,0.6997495770941103,8511.0
weighted avg,0.8374813685995758,0.8551286570320762,0.8396815963132239,8511.0
