model,best_cv_macro_f1,best_params
hgb,0.8477556425361341,"{'hgb__min_samples_leaf': 20, 'hgb__max_leaf_nodes': 63, 'hgb__max_iter': 500, 'hgb__learning_rate': 0.05, 'hgb__l2_regularization': 5.0}"
mlp,0.832655769271138,"{'mlp__learning_rate_init': 0.001, 'mlp__hidden_layer_sizes': (512, 256), 'mlp__alpha': 0.0005}"
