,precision,recall,f1-score,support
0,0.7521568627450981,0.8196581196581196,0.7844580777096114,1170.0
1,0.8960720130932897,0.8581504702194357,0.8767013610888711,1276.0
2,0.31290092658588736,0.7378151260504202,0.4394394394394394,595.0
3,0.9505530253741054,0.8012797074954296,0.8695565916079754,5470.0
accuracy,0.8078956644342615,0.8078956644342615,0.8078956644342615,0.8078956644342615
macro avg,0.7279207069495951,0.8042258558558513,0.7425388674614744,8511.0
weighted avg,0.8705337232092306,0.8078956644342615,0.8288600528999808,8511.0
