,precision,recall,f1-score,support
0,0.6043872919818457,0.6829059829059829,0.6412520064205457,1170.0
1,0.8005115089514067,0.7358934169278997,0.7668436096365864,1276.0
2,0.20184757505773673,0.7344537815126051,0.31666666666666665,595.0
3,0.9433913269280706,0.6641681901279708,0.7795300933376247,5470.0
accuracy,0.6824109975326048,0.6824109975326048,0.6824109975326048,0.6824109975326048
macro avg,0.6375344257297649,0.7043553428686146,0.6260730940153558,8511.0
weighted avg,0.8235266928089126,0.6824109975326048,0.7262605534757134,8511.0
