label,score
3,0.02536296602849256
3,0.009805352063917038
3,0.015201485005404036
2,0.027586892540769146
1,0.031834104177345786
3,0.0679171300777691
3,0.048277047400009265
0,0.007064998480360436
3,0.010067974555822713
3,0.03005568197954296
3,0.33330107890180183
1,0.03937790346420456
3,0.013713711048168506
3,0.15661059231833516
1,0.05777851849712204
3,0.005155317585792435
3,0.053635584314955416
3,0.03609062826882968
0,0.02495244508490564
2,0.018190948757734166
3,0.057963409221929225
1,0.04489773384539745
3,0.038479723100528024
3,0.0064926272151979774
3,0.019134926291049
2,0.0842552500737623
3,0.01207336014971024
3,0.02270482339091675
3,0.0324520364007131
3,0.006456820337088772
3,0.027554264401724142
3,0.03762158263604874
1,0.005358420381415129
3,0.006007852085263699
1,0.05564471177246684
0,0.12084607502070116
1,0.11713069051539454
0,0.01078649308283495
3,0.008253888843298819
3,0.05832065420260078
3,0.0038900398922034384
3,0.07186044385903735
3,0.017964473957508758
3,0.007211597000674946
3,0.00698313230506579
1,0.08183884002314025
1,0.05179118634300973
3,0.009067323934571454
3,0.0028339530937244455
3,0.03056110686694676
0,0.0182866036813126
0,0.005805432068265716
3,0.005627919774341178
0,0.004724163280013834
3,0.0014756956028402352
0,0.20754357099738888
0,0.031765169072826255
3,0.007609054359642732
3,0.02489483216273562
1,0.1537038518412257
3,0.01401844980100566
2,0.04872305154674598
2,0.07147802702369882
3,0.06537911000513016
2,0.012393306596681673
0,0.12216772355208903
0,0.015646341856132246
1,0.04157340918256313
3,0.004707662388805856
3,0.1185725926984015
0,0.031093405642200454
3,0.0027229753309225505
3,0.03161535113487987
2,0.16086600306093474
0,0.03514525793077071
3,0.017050051075192543
3,0.07970316353338723
1,0.03007873430293956
1,0.09904248688663662
1,0.20932838875706292
3,0.01592203421461546
1,0.060724894069280486
3,0.021898710636332693
3,0.006590454994164883
1,0.012043314613729815
0,0.04636859864740033
3,0.03619593197526624
0,0.09654398470820234
1,0.020628340866094032
0,0.028988161922150445
3,0.00787398035700433
0,0.0188385663782702
3,0.06629046919491824
3,0.031220455969781628
3,0.04693889136595042
3,0.05373960661438566
3,0.009600098055696078
3,0.06401446565552965
3,0.008242766980727385
3,0.019837638649913763
3,0.0480699709717208
1,0.013738345836255553
3,0.02253579413756944
3,0.016609475856832367
3,0.00514945200174526
3,0.016574817452040345
3,0.04522718353955371
0,0.2213727945315642
3,0.011812717774472912
1,0.019453954810643468
3,0.011214409415701529
3,0.001677030686617431
3,0.009731032001274441
3,0.01094983521707484
3,0.05673335942565502
3,0.0510442424599242
3,0.04698423828661472
3,0.031980178319509875
3,0.009426015989440607
3,0.013033467986029642
1,0.2686075231813901
0,0.15790864389807957
0,0.004454111901137084
0,0.012240667183131259
3,0.04339021634710539
3,0.05153703253696992
0,0.026608703461174246
3,0.038668432841091324
3,0.03268903242129697
3,0.014859284468992272
0,0.02897232054206463
3,0.021029961395038956
3,0.008756618740629437
2,0.01937365033736294
3,0.020725951596047447
0,0.02554780982325011
2,0.027764179044646748
0,0.019011036957861372
3,0.1360379900690089
3,0.025373108317169064
3,0.03351500772325628
3,0.09791909935968722
3,0.014958296277560413
3,0.008026484313000327
0,0.007673076780523162
3,0.005579449811952432
3,0.029897740513581437
0,0.018685464257817395
3,0.05019291961467453
3,0.0344967707867342
0,0.02012613548484828
3,0.008668934711610517
3,0.03187625089792002
3,0.039059275588356285
3,0.0413670930079248
1,0.09702451370979558
3,0.024764446455655877
1,0.15845380052179478
1,0.023779491444746982
3,0.00693735297735373
3,0.027058018129122903
3,0.060022233916850624
1,0.009690761169629535
3,0.013563723246097089
3,0.033416139989430035
1,0.07320900570717169
2,0.11068378668662132
3,0.060565905251742144
3,0.01381402928847281
2,0.03514988070901695
0,0.0238500807151572
1,0.05043663523354502
1,0.021218748350805065
0,0.030540502141178635
3,0.007931514582746498
3,0.012215675618512032
3,0.002360406232706169
1,0.17426224418724376
0,0.030597628191563035
3,0.039494929187690216
3,0.006788447664058506
3,0.01676384371697844
1,0.014362752196102576
1,0.019257619622685792
0,0.07747015667530052
3,0.005089684885985843
0,0.005229937282577975
3,0.052794536333221516
3,0.006440215271129813
2,0.018317244756600595
3,0.05215990919419487
3,0.0216282966978909
3,0.005876296237322951
3,0.0055964864549501725
0,0.02030777558022702
0,0.09116859285066245
3,0.0401042567822331
1,0.16316925468794408
1,0.029317217274512385
0,0.026574615077847294
3,0.11048575152344141
3,0.05106134405527822
3,0.018578098873738368
3,0.03257690105017544
0,0.027646855195088523
1,0.013166886314827143
0,0.07702081230691035
3,0.03764851510056162
3,0.009691353378997484
3,0.0030538341365747286
3,0.04397013569892423
2,0.04153450907912767
3,0.009665454773674845
1,0.015336712427149716
0,0.027621100251873105
0,0.029635741482234426
3,0.014021487478942598
3,0.08075626776487697
3,0.005428925431605008
3,0.04367253378630229
1,0.004794871389119226
0,0.053902343075793654
0,0.05431039811235513
3,0.020586152633050324
3,0.007274530367613974
3,0.01135340031307964
3,0.07177474408507802
2,0.026011256334633196
1,0.009654109247966013
3,0.01977866325858404
3,0.01244944475444995
3,0.005955317141124746
3,0.0032922732164591935
2,0.005922389188293048
3,0.01023333343456338
0,0.11300561441226382
3,0.0570543736173264
3,0.006339761807163417
3,0.04737256234368936
3,0.03330655063726952
0,0.019201524998535238
0,0.030933598495100228
1,0.010878818086590867
2,0.014598430545372531
3,0.054341532902224585
0,0.053999100305062206
3,0.010286667230654899
1,0.0198780720483844
3,0.006731856924649439
3,0.010483034464356545
3,0.007562525556176463
3,0.023369094572412485
3,0.044182294977163014
3,0.11739193177361629
3,0.01055951544138974
3,0.028661993143547043
3,0.03452622216515593
3,0.020639209590472156
3,0.03272803392133495
1,1.3837628976635807
3,0.048181884316125245
3,0.09389494545215463
3,0.013053113502805842
3,0.010601088618144081
3,0.031040172091540183
3,0.017630949893296482
3,0.06009418869832518
1,0.00749795058674571
2,0.009817026086446873
3,0.04109280825744731
3,0.008342581388104568
3,0.005835682282600702
0,0.004785178558942032
1,0.06602267592199836
1,0.04169686148337011
3,0.027448232350263908
3,0.011826424846528676
3,0.005377508228388024
3,0.04520683801490225
0,0.007585498247902215
1,0.05032673007675843
0,0.1252131489938612
0,0.04894004268458073
1,0.01936854623396822
3,0.0024412298577309913
3,0.02422022476641889
1,0.02559344511589711
1,0.012600200169680293
3,0.008886061301960914
2,0.011497286827161817
3,0.04390986234643032
2,0.012957586416152096
1,0.09383195518591952
2,0.026169853883711073
2,0.012345755485004179
3,0.008995996041833682
3,0.0016304841912146923
3,0.010900084185873281
0,0.03546344421648421
1,0.016557450549691013
3,0.009990115021794803
3,0.015352743195140862
2,0.11472946600819739
3,0.009826695539618367
3,0.06339854915562784
3,0.025562700143583063
3,0.013731688036647764
1,0.07840054453399053
3,0.028303721779723196
2,0.05042255309964337
2,0.004542927018187533
3,0.005667660697489114
3,0.14816692319232996
3,0.012312400709522837
1,0.011144118203707028
0,0.026376550512317687
1,0.09069728362705153
3,0.010185751826388551
3,0.007132015515087905
2,0.06675657001007809
0,0.025813590753927397
3,0.05272741188294343
3,0.011884165020850695
3,0.007857304645654355
3,0.12056796028726256
1,0.11479053884546628
3,0.03850467503886639
2,0.04413583081461088
3,0.004225639517162301
3,0.007922832018515456
3,0.03876256724289104
1,0.25644746791796197
3,0.004358343129747557
0,0.006660858224443081
3,0.009551256333771354
3,0.029903868284664355
1,0.01637603234167587
3,0.032996689478337435
1,0.047047706136555116
3,0.048138265827138524
3,0.01008006803907361
0,0.008579542363456929
3,0.020615937056958168
3,0.005415019800540094
3,0.05139858627313621
3,0.08562960817795127
0,0.03873966752015751
3,0.01886044997695984
3,0.02973875937058731
3,0.04942093504308899
3,0.032179961192019865
3,0.011612247714997515
3,0.019249186036630242
1,0.030521774817586333
3,0.054113638780221476
3,0.036716712997567444
3,0.036740583013054266
3,0.054713310590871395
3,0.008395610396724212
3,0.010166555351578435
3,0.0437622594510704
3,0.010215097367129142
3,0.029972077819690683
3,0.04385800583865365
3,0.037307842892525304
1,0.01641064625033224
3,0.019144051491441126
3,0.05156699498923572
3,0.11319858736875281
2,0.05040523890022048
3,0.006274154059342256
1,0.032214614135904804
3,0.07778555984971135
3,0.0374794786458507
3,0.05355093143541219
3,0.03231459927326151
3,0.012109929489165209
3,0.006241867908420211
3,0.03952051225638597
3,0.01082983901821596
1,0.05578880574277008
3,0.010702205358627733
0,0.018337070350216932
3,0.012674351601050755
1,0.02315793666154668
3,0.00539355763453831
3,0.0435980305232471
3,0.010798907651329516
3,0.015915766709533142
3,0.016297535164047108
3,0.005598773233814725
1,0.010296551662132336
3,0.011292956350447997
3,0.008033188762452733
0,0.05871316576076967
3,0.003505569715801444
3,0.007668399788687346
3,0.025160527817106877
0,0.06764502330854635
3,0.010347421015585924
3,0.1932796806157406
3,0.035673783525723396
0,0.1345759464817138
3,0.01609524553925257
3,0.002486841569294954
1,0.03345086305959326
3,0.003408488093758364
1,0.02023038884722568
3,0.011327474661340098
3,0.05703779123820597
3,0.04331316550880762
0,0.06242438662038937
3,0.007196675514672457
3,0.006942408030392018
3,0.04096956219618849
3,0.08498996727414415
3,0.0037175387369868325
1,0.020598037891703037
3,0.015142636201849404
1,0.09881258669538412
3,0.011246391064047973
0,0.018082226139294767
2,0.05303245897054148
3,0.030588854646884052
3,0.027023797810277268
3,0.009590033917090653
0,0.008054063620806422
3,0.007417721704569036
3,0.02784676528432617
1,0.07162586284104523
3,0.030500477475081635
3,0.1586311343894698
2,0.05777917198306995
1,0.07016885524409132
3,0.05629138771493822
0,0.030087147775472358
3,0.01455083163322965
3,0.03939837241314913
3,0.0031976102267786987
3,0.023233631370125428
3,0.04057728851039455
2,0.016160803617105608
3,0.011480207998006356
1,0.09751686367057776
3,0.012936547443250616
3,0.014126753992378413
3,0.009519856426075078
3,0.01168649393256825
2,0.014379288705475203
1,0.1228658140776758
0,0.010174225865301152
3,0.02830746073791622
3,0.018370809982194893
3,0.011788878647991476
3,0.011883692578065149
3,0.00992490362777302
3,0.05820464481061815
3,0.016084926003921647
3,0.05488046980856044
3,0.006237310474745247
3,0.03956196137169961
3,0.01104086119290931
3,0.008691105745037658
3,0.008250059412417748
3,0.0697839103080643
2,0.018203365590085455
3,0.0017555789605369213
3,0.009462497453765178
3,0.018818872607737888
0,0.017500787498277267
1,0.08400386330819358
3,0.030277008843893446
0,0.027985660403151327
3,0.025084266766484436
2,0.038569629803055484
3,0.008341186824814436
3,0.0281121598356645
3,0.028851336777583617
3,0.04342226047148541
3,0.0077054976659980115
2,0.04617479889321195
3,0.005101883666173863
1,0.051266945417556456
3,0.011608509792680594
3,0.02351997911922223
3,0.07185222410225181
1,0.14114506982059513
3,0.017526325258329537
3,0.014475249798625465
3,0.06540003092344393
3,0.03823419566675234
3,0.009822055594189806
0,0.11149762893940304
0,0.04938544132642006
2,0.056326221701013895
3,0.030105876539710162
3,0.006007670236690584
3,0.03941807582039723
1,0.11854263236705934
3,0.06224478236754506
3,0.03193767583423489
0,0.11236826286812088
3,0.02840331597091294
3,0.03356114784099136
3,0.009318266378439853
3,0.02277041116088652
0,0.004950457984565521
3,0.029956703608446135
0,0.021631806711970212
3,0.017428658288451106
3,0.034336369972758955
0,0.04337111191300201
3,0.05251200261404632
3,0.002769239934532219
2,0.027275213597715103
1,0.01709610572045412
3,0.010786998048171643
3,0.020469466399942807
1,0.03222003744385113
2,0.020544080326536582
3,0.033971964219508335
2,0.015824110056647876
0,0.007317567904317911
3,0.008279144061385902
3,0.026264461762393974
3,0.03537563735309989
3,0.007553876321036445
3,0.07086976711692311
1,0.043496561082543586
3,0.00902702921483459
3,0.04191782582228357
3,0.018255318768826943
3,0.0010978515308397508
3,0.011817000762800846
3,0.015182282788081368
0,0.0031594509372989904
1,0.03825529294179925
0,0.030332470514806482
2,0.0198639477701699
1,0.10645748398837379
3,0.06155038525708818
3,0.032976797952751706
3,0.00450420653143692
3,0.04313641560421133
1,0.026288507872154927
3,0.006950451752079224
3,0.004897917705360846
2,0.014182887120990341
0,0.08008462392559916
0,0.00951341637559835
1,0.02541160970358233
0,0.07147413238531176
3,0.021141724149421684
3,0.010504410900237491
3,0.0025713709594561707
3,0.06933503567221252
2,0.010152273420694254
3,0.005570012061368741
3,0.025861153296919608
3,0.03289946296486369
3,0.014501277846109113
3,0.07145800211163887
3,0.00462524846538735
3,0.07103820485920126
3,0.04777437389390718
2,0.0065230634456592005
0,0.0640616178359644
2,0.018013124784886397
1,0.0026093653691287412
3,0.07925616766641067
0,0.030203209101367944
3,0.006307418412850609
3,0.09369525432372762
3,0.0430586858565519
3,0.03416503437884498
3,0.03843913764040346
1,0.018864106120025814
0,0.09275612732469035
0,0.05681904520529958
3,0.006304832915647331
3,0.008300504689339815
3,0.006580916343269647
3,0.002442885029287062
3,0.061206540579806096
3,0.01818898531187786
1,0.0032514592869995616
3,0.004210718390372032
3,0.056581078258668864
3,0.028235486906319936
3,0.023435763376482233
0,0.041123168549413794
3,0.02339976730106787
3,0.04420576012316401
3,0.0446798969243497
3,0.017229123399344157
3,0.10500816098626814
3,0.007041074842520224
3,0.03789525613397693
3,0.034844752931975205
3,0.04527856805342992
3,0.019926838928314795
3,0.001247686091185788
3,0.010955738954752998
3,0.005277113529547585
0,0.020107897229587706
1,0.046926872593158246
3,0.04119858531653685
3,0.0216295636213039
3,0.1492817142023992
3,0.004444094560302934
1,0.01228858570231129
3,0.005264554633245102
3,0.04625820439203424
0,0.08058620909353359
3,0.13217709777122144
3,0.08997381962727403
3,0.0455290457676279
3,0.029022520503953302
3,0.03197656264885228
1,0.518413819576192
3,0.030107758706563268
3,0.006469373729140136
3,0.002682012725039995
3,0.012064142294890279
2,0.03350558970924267
1,0.02399345722077717
1,0.027444420037929185
3,0.009184711359902705
3,0.016561459750773257
3,0.027813922639572077
0,0.04328215235938308
2,0.021727174640364746
3,0.006653546377322723
3,0.07008644700866572
1,0.01581552355568662
3,0.026926475644200493
0,0.011034423515424616
0,0.01651992543499239
3,0.04171155139509737
3,0.026754911483401863
3,0.02243296094877551
0,0.012588025788107363
0,0.013811172340040052
0,0.006977857719696937
3,0.046488085151092
3,0.005357738706446551
3,0.0018703559020790464
3,0.06454062356322356
3,0.038895776911589644
3,0.041878013991769464
2,0.003898683542018848
3,0.006507289710831047
3,0.012657594547323181
3,0.03469686784165071
0,0.0538182700949026
1,0.0168724007523214
3,0.01985260777606606
3,0.009291211540397092
2,0.004727983778723768
3,0.008664813005823634
0,0.041885269869815625
3,0.030060904570469116
2,0.09582797942330035
2,0.03920877082407898
3,0.028834301144573082
3,0.014116172192417842
3,0.009540614647270969
0,0.028585229683506123
1,0.010003017813845478
3,0.006398275987442984
0,0.02979484817235534
1,0.053300968189974623
3,0.006354069858906459
3,0.04363646025506683
0,0.010921957389914702
2,0.025483517418673926
1,0.023249548346660986
3,0.0057917650278379185
3,0.04683482521153349
0,0.021194394855785764
0,0.03292459155765494
3,0.05866964237249835
1,0.5257022218533662
1,0.24716172327779237
0,0.04880493257805858
0,0.05147949953703193
3,0.011824231856188786
3,0.026440046545875426
1,0.08855113640447043
0,0.008244371692324486
3,0.015852499967223425
3,0.06000331514703335
3,0.02268268962345
3,0.020088650029999003
1,0.10183267321101316
0,0.004237005322311667
1,0.08710417297673825
3,0.022221395837382973
3,0.03250190270234943
3,0.04455700310582725
3,0.0059413037835636525
2,0.03224162969031214
3,0.008135286732791205
0,0.08835024735663564
0,0.02673104505777612
3,0.034164123336785895
3,0.006472057245467366
3,0.08788222027117633
3,0.013478433195510224
3,0.0060493165597714695
3,0.0592519248538983
0,0.005270195158574639
0,0.003636078551804957
3,0.045080764874522256
3,0.061068722971741235
3,0.007961144806704897
3,0.019588837040725393
3,0.05424292704532216
3,0.14131932731768504
3,0.028479723524467888
1,0.224136559130199
3,0.004883907072786497
3,0.023272930044854406
1,0.008131983028224286
3,0.048041681001489346
3,0.020455049001656303
3,0.014621350304019586
1,0.02791283287297487
3,0.04460109026540607
0,0.012168767507152749
1,0.10538671871635287
3,0.061913065400320155
3,0.04544526476332852
1,0.08503132503202274
3,0.03971310961620245
3,0.012917284150007292
3,0.008050933268076725
0,0.04785881958558894
1,0.008682780784122709
3,0.00659805192562496
3,0.022052080110651233
0,0.04311835412363344
3,1.2653384415501756
3,0.022690017417220296
3,0.0058453534769709594
0,0.029221092540560576
3,0.01493753023882467
3,0.015607284672995754
3,0.009783814243875357
3,0.006669156962417891
3,0.017556231351553004
3,0.023339165131860254
1,0.10087314172506433
3,0.02498154552010571
3,0.0020573053734608995
3,0.029949470830794054
3,0.003019355830558884
3,0.008539895842302235
3,0.007412878037573382
3,0.037809631146831606
1,0.007608544535219308
3,0.010857510436310041
3,0.0288253841847548
1,0.021017595445446385
3,0.016206304890349927
0,0.031083514606980254
0,0.01840277476008511
1,0.017274899255164886
3,0.020839557196639488
2,0.004763323874808055
0,0.026725236025101094
3,0.003545896706109622
3,0.03661867180768111
0,0.023557422152975852
3,0.008932621629535144
1,0.020829466408802105
1,0.02400579839507178
3,0.002948144796651251
3,0.011519868222764665
3,0.016630799768334436
3,0.015482849434171362
3,0.017093668612477995
2,0.008429686925680697
3,0.028036182354036574
3,0.007045992656838534
3,0.0402662604567379
3,0.022808951544935993
3,0.058008689475121514
3,0.005297957479613418
3,0.03399243737535349
3,0.03788609745817689
0,0.003937758184175328
3,0.0029784129376143396
3,0.009892833159416374
3,0.05512583984981988
3,0.039759729935454284
0,0.012199022638890925
3,0.1170839260808044
0,0.024101447901388292
3,0.04282035624955981
3,0.04819942294253383
3,0.15762755815502322
3,0.037205992052688104
1,0.05325652769820138
