label,if_score,if_label,file_path
1,0.4532065633511236,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk3_tr/scan/2026-06-09T23-48-52.766391-Hohlrmtestk3_tr-[5961]-[-39.0,42.0,5.3]-[1.0,0.0,0.0,0.0]-delta[0.013mm-0.0deg]-avg20.txt"
3,0.38949106824784807,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T12-56-03.721775-Hohlrmtestk1_tr-[16985]-[47.0,-62.0,5.87]-[1.0,0.0,0.0,0.0]-delta[0.02mm-0.0deg]-avg20.txt"
3,0.42328150660488706,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T00-26-50.081689-Hohlrmtestk1_tr-[6846]-[-33.0,57.0,4.79]-[1.0,0.0,0.0,0.0]-delta[0.018mm-0.0deg]-avg20.txt"
3,0.3853330839409488,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T12-26-29.993648-Hohlrmtestk2_tr-[13407]-[19.0,-50.0,5.82]-[1.0,0.0,0.0,0.0]-delta[0.008mm-0.0deg]-avg20.txt"
2,0.39195208918594826,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T08-53-32.266377-Hohlrmtestk1_tr-[13701]-[22.0,62.0,6.08]-[1.0,0.0,0.0,0.0]-delta[0.005mm-0.0deg]-avg20.txt"
3,0.4999465030035694,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T16-14-58.868680-Hohlrmtestk2_tr-[16488]-[43.0,-27.0,6.05]-[1.0,0.0,0.0,0.0]-delta[0.016mm-0.0deg]-avg20.txt"
3,0.4457354154004537,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk3_tr/scan/2026-06-10T05-38-22.704976-Hohlrmtestk3_tr-[10420]-[23.0,-51.0,5.82]-[1.0,0.0,0.0,0.0]-delta[0.013mm-0.0deg]-avg20.txt"
3,0.43773703540324865,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk3_tr/scan/2026-06-09T17-21-06.026642-Hohlrmtestk3_tr-[988]-[-73.0,79.0,4.38]-[1.0,0.0,0.0,0.0]-delta[0.02mm-0.0deg]-avg20.txt"
3,0.38661863514166006,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-27T22-25-56.241447-Hohlrmtestk1_tr-[5229]-[-44.0,3.0,4.93]-[1.0,0.0,0.0,0.0]-delta[0.018mm-0.0deg]-avg20.txt"
3,0.4054651835277759,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T01-49-10.577591-Hohlrmtestk2_tr-[4819]-[-47.0,-7.0,5.06]-[1.0,0.0,0.0,0.0]-delta[0.008mm-0.0deg]-avg20.txt"
3,0.4326224203804778,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk3_tr/scan/2026-06-09T22-05-21.863160-Hohlrmtestk3_tr-[4633]-[-48.0,-14.0,4.89]-[1.0,0.0,0.0,0.0]-delta[0.014mm-0.0deg]-avg20.txt"
1,0.4444829055952489,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-27T20-58-25.632940-Hohlrmtestk1_tr-[4061]-[-52.0,19.0,4.76]-[1.0,0.0,0.0,0.0]-delta[0.009mm-0.0deg]-avg20.txt"
3,0.4379530234678271,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T00-33-30.230300-Hohlrmtestk2_tr-[3808]-[-54.0,71.0,5.02]-[1.0,0.0,0.0,0.0]-delta[0.015mm-0.0deg]-avg20.txt"
1,0.4809877577647158,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T03-24-58.990778-Hohlrmtestk2_tr-[6100]-[-38.0,-18.0,5.61]-[1.0,0.0,0.0,0.0]-delta[0.007mm-0.0deg]-avg20.txt"
0,0.5574795675151266,-1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-28T20-43-05.977326-Hohlrmtestk2_tr-[731]-[-75.0,-66.0,4.31]-[1.0,0.0,0.0,0.0]-delta[0.017mm-0.0deg]-avg20.txt"
1,0.49564955253331555,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-28T23-39-07.416020-Hohlrmtestk2_tr-[3083]-[-59.0,-52.0,5.71]-[1.0,0.0,0.0,0.0]-delta[0.013mm-0.0deg]-avg20.txt"
0,0.43935652919855395,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-27T17-38-10.766456-Hohlrmtestk1_tr-[1391]-[-70.0,35.0,4.23]-[1.0,0.0,0.0,0.0]-delta[0.014mm-0.0deg]-avg20.txt"
3,0.423182704011563,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-27T19-20-44.997567-Hohlrmtestk1_tr-[2760]-[-61.0,-38.0,4.3]-[1.0,0.0,0.0,0.0]-delta[0.014mm-0.0deg]-avg20.txt"
3,0.3952250519323158,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T13-05-34.276503-Hohlrmtestk1_tr-[17114]-[48.0,74.0,6.24]-[1.0,0.0,0.0,0.0]-delta[0.008mm-0.0deg]-avg20.txt"
3,0.4120731177146683,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T04-22-41.168851-Hohlrmtestk1_tr-[10027]-[-8.0,-18.0,4.93]-[1.0,0.0,0.0,0.0]-delta[0.01mm-0.0deg]-avg20.txt"
3,0.5143304385449295,-1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T18-40-31.498662-Hohlrmtestk2_tr-[18456]-[57.0,50.0,6.42]-[1.0,0.0,0.0,0.0]-delta[0.017mm-0.0deg]-avg20.txt"
3,0.4477236127468893,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-27T22-10-40.766939-Hohlrmtestk1_tr-[5027]-[-45.0,89.0,4.53]-[1.0,0.0,0.0,0.0]-delta[0.008mm-0.0deg]-avg20.txt"
3,0.3994945044601141,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T11-25-35.499507-Hohlrmtestk2_tr-[12581]-[12.0,95.0,5.87]-[1.0,0.0,0.0,0.0]-delta[0.011mm-0.0deg]-avg20.txt"
3,0.3803087633939094,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T06-58-02.444064-Hohlrmtestk1_tr-[12130]-[9.0,-26.0,5.29]-[1.0,0.0,0.0,0.0]-delta[0.009mm-0.0deg]-avg20.txt"
1,0.49833756229759507,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T00-30-02.880662-Hohlrmtestk2_tr-[3762]-[-54.0,18.0,5.78]-[1.0,0.0,0.0,0.0]-delta[0.007mm-0.0deg]-avg20.txt"
1,0.40524303730568106,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-27T21-57-49.296866-Hohlrmtestk1_tr-[4855]-[-47.0,-49.0,5.07]-[1.0,0.0,0.0,0.0]-delta[0.016mm-0.0deg]-avg20.txt"
3,0.45458959195914445,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T05-23-25.786887-Hohlrmtestk1_tr-[10849]-[-1.0,88.0,5.85]-[1.0,0.0,0.0,0.0]-delta[0.008mm-0.0deg]-avg20.txt"
3,0.4417382421584263,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T05-21-05.255515-Hohlrmtestk1_tr-[10816]-[-2.0,74.0,5.99]-[1.0,0.0,0.0,0.0]-delta[0.009mm-0.0deg]-avg20.txt"
3,0.3952671909223536,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk1_tr/scan/2026-04-28T12-54-42.594918-Hohlrmtestk1_tr-[16966]-[47.0,-43.0,5.6]-[1.0,0.0,0.0,0.0]-delta[0.015mm-0.0deg]-avg20.txt"
0,0.4100408290545437,1,"/Users/flo/Desktop/Isenhagen/labeled data/Hohlraumtestk2_tr/scan/2026-04-29T04-55-01.813147-Hohlrmtestk2_tr-[7311]-[-30.0,-8.0,5.01]-[1.0,0.0,0.0,0.0]-delta[0.004mm-0.0deg]-avg20.txt"
